Sri lanka standard classification of area,2010 Labour foce participation, 2010 Labour foce participation rate (%),2011 Labour foce participation,2011 Labour foce participation rate (%),2012 Labour foce participation,2012 Labour foce participation rate (%),2013 Labour foce participation,2013 Labour foce participation rate (%),2014 Labour foce participation,2014 Labour foce participation rate (%)
Sri Lanka,8096477.00,53.40,8543776.00,53.00,8454364.00,52.60,8802113.00,53.80,8804548.00,53.30
Western,2396115.00,50.00,2423381.00,49.20,2452561.00,49.80,2585051.00,51.30,2568456.00,50.60
 Colombo,914083.00,49.30,930791.00,50.90,929779.00,50.50,1030030.00,50.80,1024750.00,50.90
 Gampaha,933884.00,49.80,939945.00,46.80,955676.00,48.10,1011351.00,51.20,1022173.00,50.50
 Kalutara,548148.00,51.70,552645.00,50.80,567106.00,51.80,543671.00,52.50,521533.00,50.40
Central,973413.00,53.40,1009278.00,54.90,976310.00,53.90,957707.00,53.00,982468.00,53.70
 Kandy,481803.00,49.30,490295.00,49.70,490456.00,50.70,490402.00,49.10,508302.00,49.50
 Matale,187398.00,55.40,190424.00,54.80,195500.00,55.80,168414.00,52.90,161866.00,51.30
 Nuwara Eliya,304212.00,60.20,328560.00,65.10,290354.00,58.80,298891.00,61.00,312300.00,64.30
Southern,1022845.00,51.90,1063663.00,53.20,1021958.00,51.30,1097389.00,55.10,1082017.00,53.90
 Galle,424677.00,49.30,433282.00,52.00,376199.00,49.00,481563.00,54.90,468803.00,53.20
 Matara,334214.00,52.20,339193.00,51.80,357128.00,50.20,332082.00,52.60,347346.00,54.10
 Hambantota,263955.00,56.60,291188.00,56.90,288631.00,56.30,283745.00,58.50,265869.00,54.90
Northern,-,-,318487.00,43.90,344558.00,44.70,366134.00,45.80,372706.00,46.10
 Jaffna,-,-,177241.00,41.50,202882.00,43.60,211399.00,45.10,213722.00,44.50
 Mannar,-,-,31832.00,45.50,32628.00,42.50,30548.00,45.10,29029.00,44.00
 Vavuniya,-,-,55427.00,47.70,56768.00,50.50,59090.00,45.40,64164.00,53.00
 Mullaitivu,-,-,22293.00,49.90,25303.00,48.70,26944.00,49.20,29212.00,47.70
 Kilinochchi,-,-,31693.00,46.90,26978.00,42.30,38153.00,48.70,36579.00,45.80
Eastern,496883.00,47.30,498499.00,46.00,491248.00,46.90,479968.00,44.60,506715.00,46.30
 Batticaloa,149969.00,45.90,151724.00,44.30,152415.00,47.50,159998.00,44.30,166895.00,43.80
 Ampara,239038.00,46.90,230917.00,45.90,204802.00,44.90,201585.00,44.40,213601.00,46.60
 Trincomalee,107876.00,50.30,115858.00,48.50,134032.00,49.40,118385.00,45.30,126219.00,49.60
North-western,1079247.00,55.40,1071611.00,54.60,1057688.00,54.00,1151650.00,57.60,1121759.00,55.90
 Kurunegala,754532.00,55.70,720781.00,54.70,733329.00,55.30,801892.00,58.20,806619.00,57.80
 Puttalam,324714.00,54.80,350830.00,54.40,324360.00,51.30,349758.00,56.20,315140.00,51.50
North-central,566989.00,61.40,564273.00,61.30,542024.00,58.50,577712.00,62.20,560783.00,59.30
 Anuradhapura,402455.00,66.60,395804.00,65.70,365798.00,60.60,417103.00,66.50,395873.00,62.30
 Polonnaruwa,164534.00,51.60,168468.00,53.00,176226.00,54.50,160609.00,53.20,164911.00,53.30
Uva,672530.00,62.30,687974.00,64.60,658924.00,62.50,665739.00,61.60,677498.00,60.80
 Badulla,434316.00,61.90,422430.00,63.30,421596.00,61.80,399968.00,60.50,394995.00,58.90
 Moneragala,238214.00,63.20,265544.00,66.60,237329.00,63.60,265771.00,63.20,282503.00,63.70
Sabaragamuwa,888455.00,55.90,906610.00,56.50,909092.00,56.90,920762.00,56.40,932146.00,56.40
 Ratnapura,509850.00,57.30,517008.00,58.70,546922.00,59.30,523421.00,59.10,511093.00,58.10
 Kegalle,378605.00,54.20,389602.00,53.80,362170.00,53.70,397341.00,53.10,421053.00,54.40
